day,dinner,
Tues,"pasta with rose sauce, chicken breast, green beans",
Wed,"pasta with rose sauce, chicken breast, green beans",
Thur,beans/lentils,
Fri,tacos,
Sat,tacos,
Sun,pizza,
Mon,"chicken with vinegar, rice, vegetables",
Tues,"chicken with vinegar, rice, vegetables",
,,
,,
