meal_ID,source,tag1,tag2,tag3,item,quantity,unit,department
crispy_baked_potato_fans,"Cook's Country, April/May 2008",side,potato,-,hearty white sandwich bread,1,slice,bread
crispy_baked_potato_fans,"Cook's Country, April/May 2008",side,potato,-,unsalted butter,4,Tbsp,dairy
crispy_baked_potato_fans,"Cook's Country, April/May 2008",side,potato,-,Monterey Jack cheese,0.5,cup shredded,dairy
crispy_baked_potato_fans,"Cook's Country, April/May 2008",side,potato,-,Parmesan cheese,0.25,cup shredded,dairy
crispy_baked_potato_fans,"Cook's Country, April/May 2008",side,potato,-,paprika,1,tsp,spices
crispy_baked_potato_fans,"Cook's Country, April/May 2008",side,potato,-,garlic powder,0.5,tsp,spices
crispy_baked_potato_fans,"Cook's Country, April/May 2008",side,potato,-,russet potatoes,4,unit,produce
crispy_baked_potato_fans,"Cook's Country, April/May 2008",side,potato,-,extra virgin olive oil,2,Tbsp,dry
